trip_id,waktu,latitude,longitude,kecepatan_kmh,jarak_km
1,2025-03-03 06:20:00,-6.002738,106.025901,38.6,0.32183
1,2025-03-03 06:20:30,-6.002625,106.022982,38.8,0.32307
1,2025-03-03 06:21:00,-5.999849,106.022573,42.8,0.35707
1,2025-03-03 06:21:30,-5.997337,106.022615,33.5,0.27928
1,2025-03-03 06:22:00,-5.995954,106.023955,35.5,0.29563
1,2025-03-03 06:22:30,-5.995611,106.027036,42.0,0.35027
1,2025-03-03 06:23:00,-5.993504,106.028722,36.2,0.30165
1,2025-03-03 06:23:30,-5.994327,106.031072,36.0,0.29984
1,2025-03-03 06:24:00,-5.99652,106.032952,38.5,0.32105
1,2025-03-03 06:24:30,-5.999206,106.034661,42.4,0.3536
1,2025-03-03 06:25:00,-6.001645,106.036318,39.3,0.32768
1,2025-03-03 06:25:30,-6.003754,106.037952,35.5,0.29604
1,2025-03-03 06:26:00,-6.005816,106.039548,34.7,0.28935
1,2025-03-03 06:26:30,-6.008436,106.040853,39.5,0.32942
1,2025-03-03 06:27:00,-6.010501,106.042198,34.6,0.28862
1,2025-03-03 06:27:30,-6.012056,106.044083,32.6,0.27137
1,2025-03-03 06:28:00,-6.01358,106.046273,35.5,0.29555
1,2025-03-03 06:28:30,-6.014962,106.048354,33.2,0.27688
1,2025-03-03 06:29:00,-6.016475,106.051024,40.8,0.3401
1,2025-03-03 06:29:30,-6.01742,106.053219,31.7,0.26443
1,2025-03-03 06:30:00,-6.018656,106.056087,41.5,0.34565
1,2025-03-03 06:30:30,-6.019695,106.058497,34.9,0.29049
1,2025-03-03 06:31:00,-6.020942,106.061391,41.9,0.34881
1,2025-03-03 06:31:30,-6.022327,106.064251,42.2,0.35184
1,2025-03-03 06:32:00,-6.023821,106.067214,44.1,0.36734
1,2025-03-03 06:32:30,-6.025544,106.069914,42.6,0.3551
1,2025-03-03 06:33:00,-6.026853,106.071893,31.5,0.26279
1,2025-03-03 06:33:30,-6.028396,106.074224,37.2,0.30969
1,2025-03-03 06:34:00,-6.029928,106.076539,36.9,0.30742
1,2025-03-03 06:34:30,-6.031682,106.079025,40.5,0.33721
1,2025-03-03 06:35:00,-6.033197,106.081109,34.3,0.28572
1,2025-03-03 06:35:30,-6.034218,106.08326,32.6,0.27156
1,2025-03-03 06:36:00,-6.032062,106.084549,33.5,0.2789
1,2025-03-03 06:36:30,-6.029209,106.085315,40.1,0.33456
1,2025-03-03 06:37:00,-6.026748,106.085631,33.1,0.27587
1,2025-03-03 06:37:30,-6.024386,106.087302,43.4,0.36166
1,2025-03-03 06:38:00,-6.023107,106.089549,34.4,0.28665
1,2025-03-03 06:38:30,-6.022044,106.091693,34.4,0.287
1,2025-03-03 06:39:00,-6.023541,106.09382,35.0,0.29201
1,2025-03-03 06:39:30,-6.025854,106.095764,40.2,0.33517
1,2025-03-03 06:40:00,-6.02854,106.097734,44.5,0.37057
1,2025-03-03 06:40:30,-6.031286,106.099453,43.2,0.35967
1,2025-03-03 06:41:00,-6.033446,106.100805,33.9,0.28286
1,2025-03-03 06:41:30,-6.036136,106.10249,42.3,0.35247
1,2025-03-03 06:42:00,-6.038115,106.103916,32.5,0.27088
1,2025-03-03 06:42:30,-6.040292,106.105565,36.4,0.30308
1,2025-03-03 06:43:00,-6.042126,106.107264,33.4,0.27856
1,2025-03-03 06:43:30,-6.044118,106.109474,39.6,0.32975
1,2025-03-03 06:44:00,-6.045865,106.111412,34.7,0.28927
1,2025-03-03 06:44:30,-6.047705,106.113453,36.6,0.3046
